G25,ἀγαπάω,agapáō,ag-ap-ah'-o,perhaps from  (much) (or compare עֲגַב); to love (in a social or moral sense):--(be-)love(-ed). Compare φιλέω.
G26,ἀγάπη,agápē,ag-ah'-pay,"from ἀγαπάω; love, i.e. affection or benevolence; specially (plural) a love-feast:--(feast of) charity(-ably), dear, love."
G27,ἀγαπητός,agapētós,ag-ap-ay-tos',"from ἀγαπάω; beloved:--(dearly, well) beloved, dear."
G28,Ἄγαρ,Ágar,ag'-ar,"of Hebrew origin (הָגָר); Hagar, the concubine of Abraham:--Hagar."
G29,ἀγγαρεύω,angareúō,ang-ar-yew'-o,"of foreign origin (compare אִגְּרָא); properly, to be a courier, i.e. (by implication) to press into public service:--compel (to go)."
G30,ἀγγεῖον,angeîon,ang-eye'-on,"from  (a pail, perhaps as bent; compare the base of ἀγκάλη); a receptacle:--vessel."
G31,ἀγγελία,angelía,ang-el-ee'-ah,"from ἄγγελος; an announcement, i.e. (by implication) precept:--message."
G32,ἄγγελος,ángelos,ang'-el-os,"from  (probably derived from ἄγω; compare ἀγέλη) (to bring tidings); a messenger; especially an ""angel""; by implication, a pastor:--angel, messenger."
G33,ἄγε,áge,ag'-eh,"imperative of ἄγω; properly, lead, i.e. come on:--go to."
G34,ἀγέλη,agélē,ag-el'-ay,from ἄγω (compare ἄγγελος); a drove:--herd.
G35,ἀγενεαλόγητος,agenealógētos,ag-en-eh-al-og'-ay-tos,from Α (as negative particle) and γενεαλογέω; unregistered as to birth:--without descent.
G36,ἀγενής,agenḗs,ag-en-ace',"from Α (as negative particle) and γένος; properly, without kin, i.e. (of unknown descent, and by implication) ignoble:--base things."
G37,ἁγιάζω,hagiázō,hag-ee-ad'-zo,"from ἅγιος; to make holy, i.e. (ceremonially) purify or consecrate; (mentally) to venerate:--hallow, be holy, sanctify."
G38,ἁγιασμός,hagiasmós,hag-ee-as-mos',"from ἁγιάζω; properly, purification, i.e. (the state) purity; concretely (by Hebraism) a purifier:--holiness, sanctification."
G39,ἅγιον,hágion,hag'-ee-on,"neuter of ἅγιος; a sacred thing (i.e. spot):--holiest (of all), holy place, sanctuary."
G40,ἅγιος,hágios,hag'-ee-os,"from  (an awful thing) (compare ἁγνός, θάλπω); sacred (physically, pure, morally blameless or religious, ceremonially, consecrated):--(most) holy (one, thing), saint."
G41,ἁγιότης,hagiótēs,hag-ee-ot'-ace,"from ἅγιος; sanctity (i.e. properly, the state):--holiness."
G42,ἁγιωσύνη,hagiōsýnē,hag-ee-o-soo'-nay,"from ἅγιος; sacredness (i.e. properly, the quality):--holiness."
G43,ἀγκάλη,ankálē,ang-kal'-ay,"from  (a bend, ""ache""); an arm (as curved):--arm."
G44,ἄγκιστρον,ánkistron,ang'-kis-tron,from the same as ἀγκάλη; a hook (as bent):--hook.
G45,ἄγκυρα,ánkyra,ang'-koo-rah,"from the same as ἀγκάλη; an ""anchor"" (as crooked):--anchor."
G46,ἄγναφος,ágnaphos,ag'-naf-os,"from Α (as a negative particle) and the same as γναφεύς; properly, unfulled, i.e. (by implication) new (cloth):--new."
G47,ἁγνεία,hagneía,hag-ni'-ah,"from ἁγνός; cleanliness (the quality), i.e. (specially) chastity:--purity."
G48,ἁγνίζω,hagnízō,hag-nid'-zo,"from ἁγνός; to make clean, i.e. (figuratively) sanctify (ceremonially or morally):--purify (self)."
G49,ἁγνισμός,hagnismós,hag-nis-mos',"from ἁγνίζω; a cleansing (the act), i.e. (ceremonially) lustration:--purification."
G50,ἀγνοέω,agnoéō,ag-no-eh'-o,"from Α (as a negative particle) and νοιέω; not to know (through lack of information or intelligence); by implication, to ignore (through disinclination):--(be) ignorant(-ly), not know, not understand, unknown."
G51,ἀγνόημα,agnóēma,ag-no'-ay-mah,"from ἀγνοέω; a thing ignored, i.e. shortcoming:--error."
G52,ἄγνοια,ágnoia,ag'-noy-ah,"from ἀγνοέω; ignorance (properly, the quality):--ignorance."
G53,ἁγνός,hagnós,hag-nos',"from the same as ἅγιος; properly, clean, i.e. (figuratively) innocent, modest, perfect:--chaste, clean, pure."
G54,ἁγνότης,hagnótēs,hag-not'-ace,"from ἁγνός; cleanness (the state), i.e. (figuratively) blamelessness:--pureness."
G55,ἁγνῶς,hagnōs,hag-noce',"adverb from ἁγνός; purely, i.e. honestly:--sincerely."
G56,ἀγνωσία,agnōsía,ag-no-see'-ah,"from Α (as negative particle) and γνῶσις; ignorance (properly, the state):--ignorance, not the knowledge."
G57,ἄγνωστος,ágnōstos,ag'-noce-tos',from Α (as negative particle) and γνωστός; unknown:--unknown.
G58,ἀγορά,agorá,ag-or-ah',"from  (to gather; probably akin to ἐγείρω); properly, the town-square (as a place of public resort); by implication, a market or thoroughfare:--market(-place), street."
G59,ἀγοράζω,agorázō,ag-or-ad'-zo,"from ἀγορά; properly, to go to market, i.e. (by implication) to purchase; specially, to redeem:--buy, redeem."
G60,ἀγοραῖος,agoraîos,ag-or-ah'-yos,"from ἀγορά; relating to the market-place, i.e. forensic (times); by implication, vulgar:--baser sort, low."
G61,ἄγρα,ágra,ag'-rah,from ἄγω; (abstractly) a catching (of fish); also (concretely) a haul (of fish):--draught.
G62,ἀγράμματος,agrámmatos,ag-ram-mat-os,"from Α (as negative particle) and γράμμα; unlettered, i.e. illiterate:--unlearned."
G63,ἀγραυλέω,agrauléō,ag-row-leh'-o,from ἀγρός and αὐλέω (in the sense of αὐλή); to camp out:--abide in the field.
G64,ἀγρεύω,agreúō,ag-rew'-o,"from ἄγρα; to hunt, i.e. (figuratively) to entrap:--catch."
G65,ἀγριέλαιος,agriélaios,ag-ree-el'-ah-yos,from ἄγριος and ἐλαία; an oleaster:--olive tree (which is) wild.
G66,ἄγριος,ágrios,ag'-ree-os,"from ἀγρός; wild (as pertaining to the country), literally (natural) or figuratively (fierce):--wild, raging."
G67,Ἀγρίππας,Agríppas,ag-rip'-pas,"apparently from ἄγριος and ἵππος; wild-horse tamer; Agrippas, one of the Herods:--Agrippa."
G68,ἀγρός,agrós,ag-ros',"from ἄγω; a field (as a drive for cattle); genitive case, the country; specially, a farm, i.e. hamlet:--country, farm, piece of ground, land."
G69,ἀγρυπνέω,agrypnéō,ag-roop-neh'-o,"ultimately from Α (as negative particle) and ὕπνος; to be sleepless, i.e. keep awake:--watch."
G70,ἀγρυπνία,agrypnía,ag-roop-nee'-ah,"from ἀγρυπνέω; sleeplessness, i.e. a keeping awake:--watch."
G71,ἄγω,ágō,ag'-o,"a primary verb; properly, to lead; by implication, to bring, drive, (reflexively) go, (specially) pass (time), or (figuratively) induce:--be, bring (forth), carry, (let) go, keep, lead away, be open."
G72,ἀγωγή,agōgḗ,ag-o-gay',"reduplicated from ἄγω; a bringing up, i.e. mode of living:--manner of life."
G73,ἀγών,agṓn,ag-one',"from ἄγω; properly, a place of assembly (as if led), i.e. (by implication) a contest (held there); figuratively, an effort or anxiety:--conflict, contention, fight, race."
G74,ἀγωνία,agōnía,ag-o-nee'-ah,"from ἀγών; a struggle (properly, the state), i.e. (figuratively) anguish:--agony."
G75,ἀγωνίζομαι,agōnízomai,ag-o-nid'-zom-ahee,"from ἀγών; to struggle, literally (to compete for a prize), figuratively (to contend with an adversary), or genitive case (to endeavor to accomplish something):--fight, labor fervently, strive."
G76,Ἀδάμ,Adám,ad-am',"of Hebrew origin (אָדָם); Adam, the first man; typically (of Jesus) man (as his representative):--Adam."
G77,ἀδάπανος,adápanos,ad-ap'-an-os,"from Α (as negative particle); and δαπάνη; costless, i.e. gratuitous:--without expense."
G78,Ἀδδί,Addí,ad-dee',"probably of Hebrew origin (compare עֲדִי); Addi, an Israelite:--Addi."
G79,ἀδελφή,adelphḗ,ad-el-fay',feminine of ἀδελφός; a sister (naturally or ecclesiastically):--sister.
G80,ἀδελφός,adelphós,ad-el-fos',from Α (as a connective particle) and  (the womb); a brother (literally or figuratively) near or remote (much like Α):--brother.
G81,ἀδελφότης,adelphótēs,ad-el-fot'-ace,"from ἀδελφός; brotherhood (properly, the feeling of brotherliness), i.e. the (Christian) fraternity:--brethren, brotherhood."
G82,ἄδηλος,ádēlos,ad'-ay-los,"from Α (as a negative particle) and δῆλος; hidden, figuratively, indistinct:--appear not, uncertain."
G83,ἀδηλότης,adēlótēs,ad-ay-lot'-ace,from ἄδηλος; uncertainty:--X uncertain.
G84,ἀδήλως,adḗlōs,ad-ay'-loce,adverb from ἄδηλος; uncertainly:--uncertainly.
G85,ἀδημονέω,adēmonéō,ad-ay-mon-eh'-o,"from a derivative of  (to be sated to loathing); to be in distress (of mind):--be full of heaviness, be very heavy."
G86,ᾅδης,háidēs,hah'-dace,"from Α (as negative particle) and εἴδω; properly, unseen, i.e. ""Hades"" or the place (state) of departed souls:--grave, hell."
G87,ἀδιάκριτος,adiákritos,ad-ee-ak'-ree-tos,"from Α (as a negative particle) and a derivative of διακρίνω; properly, undistinguished, i.e. (actively) impartial:--without partiality."
G88,ἀδιάλειπτος,adiáleiptos,ad-ee-al'-ipe-tos,"from Α (as a negative particle) and a derivative of a compound of διά and λείπω; unintermitted, i.e. permanent:--without ceasing, continual."
G89,ἀδιαλείπτως,adialeíptōs,ad-ee-al-ipe'-toce,"adverb from ἀδιάλειπτος; uninterruptedly, i.e. without omission (on an appropriate occasion):--without ceasing."
G90,ἀδιαφθορία,adiaphthoría,ad-ee-af-thor-ee'-ah,"from a derivative of a compound of Α (as a negative particle) and a derivative of διαφθείρω; incorruptibleness, i.e. (figuratively) purity (of doctrine):--uncorruptness."
G91,ἀδικέω,adikéō,ad-ee-keh'-o,"from ἄδικος; to be unjust, i.e. (actively) do wrong (morally, socially or physically):--hurt, injure, be an offender, be unjust, (do, suffer, take) wrong."
G92,ἀδίκημα,adíkēma,ad-eek'-ay-mah,"from ἀδικέω; a wrong done:--evil doing, iniquity, matter of wrong."
G93,ἀδικία,adikía,ad-ee-kee'-ah,"from ἄδικος; (legal) injustice (properly, the quality, by implication, the act); morally, wrongfulness (of character, life or act):--iniquity, unjust, unrighteousness, wrong."
G94,ἄδικος,ádikos,ad'-ee-kos,"from Α (as a negative particle) and δίκη; unjust; by extension wicked; by implication, treacherous; specially, heathen:--unjust, unrighteous."
G95,ἀδίκως,adíkōs,ad-ee'-koce,adverb from ἄδικος; unjustly:--wrongfully.
G96,ἀδόκιμος,adókimos,ad-ok'-ee-mos,"from Α (as a negative particle) and δόκιμος; unapproved, i.e. rejected; by implication, worthless (literally or morally):--castaway, rejected, reprobate."
G97,ἄδολος,ádolos,ad'-ol-os,"from Α (as a negative particle); and δόλος; undeceitful, i.e. (figuratively) unadulterated:--sincere."
G98,Ἀδραμυττηνός,Adramyttēnós,ad-ram-oot-tay-nos',from  (a place in Asia Minor); Adramyttene or belonging to Adramyttium:--of Adramyttium.
G99,Ἀδρίας,Adrías,ad-ree'-as,from  (a place near its shore); the Adriatic sea (including the Ionian):--Adria.
G100,ἁδρότης,hadrótēs,had-rot'-ace,"from  (stout); plumpness, i.e. (figuratively) liberality:--abundance."
G101,ἀδυνατέω,adynatéō,ad-oo-nat-eh'-o,"from ἀδύνατος; to be unable, i.e. (passively) impossible:--be impossible."
G102,ἀδύνατος,adýnatos,ad-oo'-nat-os,"from Α (as a negative particle) and δυνατός; unable, i.e. weak (literally or figuratively); passively, impossible:--could not do, impossible, impotent, not possible, weak."
G103,ᾄδω,áidō,ad'-o,a primary verb; to sing:--sing.
G104,ἀεί,aeí,ah-eye',"from an obsolete primary noun (apparently meaning continued duration); ""ever,"" by qualification regularly; by implication, earnestly:--always, ever."
G105,ἀετός,aetós,ah-et-os',from the same as ἀήρ; an eagle (from its wind-like flight):--eagle.
G106,ἄζυμος,ázymos,ad'-zoo-mos,"from Α (as a negative particle) and ζύμη; unleavened, i.e. (figuratively) uncorrupted; (in the neutral plural) specially (by implication) the Passover week:--unleavened (bread)."
G107,Ἀζώρ,Azṓr,ad-zore',"of Hebrew origin (compare עַזּוּר); Azor, an Israelite:--Azorigin"
G108,Ἄζωτος,Ázōtos,ad'-zo-tos,"of Hebrew origin (אַשְׁדּוֹד); Azotus (i.e. Ashdod), a place in Palestine:--Azotus."
G109,ἀήρ,aḗr,ah-ayr',"from  (to breathe unconsciously, i.e. respire; by analogy, to blow); ""air"" (as naturally circumambient):--air. Compare ψύχω."
G110,ἀθανασία,athanasía,ath-an-as-ee'-ah,from a compound of Α (as a negative particle) and θάνατος; deathlessness:--immortality.
G111,ἀθέμιτος,athémitos,ath-em'-ee-tos,"from Α (as a negative particle) and a derivative of  (statute; from the base of τίθημι); illegal; by implication, flagitious:--abominable, unlawful thing."
G112,ἄθεος,átheos,ath'-eh-os,from Α (as a negative particle) and θεός; godless:--without God.
G113,ἄθεσμος,áthesmos,ath'-es-mos,"from Α (as a negative particle) and a derivative of τίθημι (in the sense of enacting); lawless, i.e. (by implication) criminal:--wicked."
G114,ἀθετέω,athetéō,ath-et-eh'-o,"from a compound of Α (as a negative particle) and a derivative of τίθημι; to set aside, i.e. (by implication) to disesteem, neutralize or violate:--cast off, despise, disannul, frustrate, bring to nought, reject."
G115,ἀθέτησις,athétēsis,ath-et'-ay-sis,"from ἀθετέω; cancellation (literally or figuratively):--disannulling, put away."
G116,Ἀθῆναι,Athēnai,ath-ay-nahee,"plural of  (the goddess of wisdom, who was reputed to have founded the city); Athenæ, the capitol of Greece:-- Athens."
G117,Ἀθηναῖος,Athēnaîos,ath-ay-nah'-yos,from Ἀθῆναι; an Athenæan or inhabitant of Athenæ:--Athenian.
G118,ἀθλέω,athléō,ath-leh'-o,from  (a contest in the public lists); to contend in the competitive games:--strive.
G119,ἄθλησις,áthlēsis,ath'-lay-sis,from ἀθλέω; a struggle (figuratively):--fight.
G120,ἀθυμέω,athyméō,ath-oo-meh'-o,"from a compound of Α (as a negative particle) and θυμός; to be spiritless, i.e. disheartened:--be dismayed."
G121,ἄθωος,áthōos,ath'-o-os,from Α (as a negative particle) and probably a derivative of τίθημι (meaning a penalty); not guilty:--innocent.
G122,αἴγειος,aígeios,ah'-ee-ghi-os,from  (a goat); belonging to a goat:--goat.
G123,αἰγιαλός,aigialós,ahee-ghee-al-os',from aisso (to rush) and ἅλς (in the sense of the sea); a beach (on which the waves dash):--shore.
G124,Αἰγύπτιος,Aigýptios,ahee-goop'-tee-os,from Αἴγυπτος; an Ægyptian or inhabitant of Ægyptus:--Egyptian.
G125,Αἴγυπτος,Aígyptos,ah'-ee-goop-tos,"of uncertain derivation; Ægyptus, the land of the Nile:--Egypt."
G126,ἀΐδιος,aḯdios,ah-id'-ee-os,"from ἀεί; everduring (forward and backward, or forward only):--eternal, everlasting."
G127,αἰδώς,aidṓs,ahee-doce',"perhaps from Α (as a negative particle) and εἴδω (through the idea of downcast eyes); bashfulness, i.e. (towards men), modesty or (towards God) awe:--reverence, shamefacedness."
G128,Αἰθίοψ,Aithíops,ahee-thee'-ops,"from  (to scorch) and  (the face, from ὀπτάνομαι); an Æthiopian (as a blackamoor):--Ethiopian."
G129,αἷμα,haîma,hah'-ee-mah,"of uncertain derivation; blood, literally (of men or animals), figuratively (the juice of grapes) or specially (the atoning blood of Christ); by implication, bloodshed, also kindred:--blood."
G130,αἱματεκχυσία,haimatekchysía,hahee-mat-ek-khoo-see'-ah,from αἷμα and a derivative of ἐκχέω; an effusion of blood:--shedding of blood.
G131,αἱμοῤῥέω,haimorrhéō,hahee-mor-hreh'-o,"from αἷμα and ῥέω; to flow blood, i.e. have a hæmorrhage:--diseased with an issue of blood."
G132,Αἰνέας,Ainéas,ahee-neh'-as,"of uncertain derivation; Ænĕas, an Israelite:--Æneas."
G133,αἴνεσις,aínesis,ah'-ee-nes-is,"from αἰνέω; a praising (the act), i.e. (specially) a thank(-offering):--praise."
G134,αἰνέω,ainéō,ahee-neh'-o,from αἶνος; to praise (God):--praise.
G135,αἴνιγμα,aínigma,ah'-ee-nig-ma,"from a derivative of αἶνος (in its primary sense); an obscure saying (""enigma""), i.e. (abstractly) obscureness:--X darkly."
G136,αἶνος,aînos,ah'-ee-nos,"apparently a prime word; properly, a story, but used in the sense of ἔπαινος; praise (of God):--praise."
G137,Αἰνών,Ainṓn,ahee-nohn',"of Hebrew origin (a derivative of עַיִן, place of springs); Ænon, a place in Palestine:--Ænon."
G138,αἱρέομαι,hairéomai,hel'-lom-ahee,"probably akin to αἴρω; to take for oneself, i.e. to prefer:--choose. Some of the forms are borrowed from a cognate  ; which is otherwise obsolete."
G139,αἵρεσις,haíresis,hah'-ee-res-is,"from αἱρέομαι; properly, a choice, i.e. (specially) a party or (abstractly) disunion:--heresy (which is the Greek word itself), sect."
G140,αἱρετίζω,hairetízō,hahee-ret-id'-zo,from a derivative of αἱρέομαι; to make a choice:--choose.
G141,αἱρετικός,hairetikós,hahee-ret-ee-kos',from the same as αἱρετίζω; a schismatic:--heretic (the Greek word itself).
G142,αἴρω,aírō,ah'-ee-ro,"a primary root; to lift up; by implication, to take up or away; figuratively, to raise (the voice), keep in suspense (the mind), specially, to sail away (i.e. weigh anchor); by Hebraism (compare נָשָׂא) to expiate sin:--away with, bear (up), carry, lift up, loose, make to doubt, put away, remove, take (away, up)."
G143,αἰσθάνομαι,aisthánomai,ahee-sthan'-om-ahee,"of uncertain derivation; to apprehend (properly, by the senses):--perceive."
G144,αἴσθησις,aísthēsis,ah'-ee-sthay-sis,"from αἰσθάνομαι; perception, i.e. (figuratively) discernment:--judgment."
G145,αἰσθητήριον,aisthētḗrion,ahee-sthay-tay'-ree-on,"from a derivative of αἰσθάνομαι; properly, an organ of perception, i.e. (figuratively) judgment:--senses."
G146,αἰσχροκερδής,aischrokerdḗs,ahee-skhrok-er-dace',from αἰσχρός and  (gain); sordid:--given to (greedy of) filthy lucre.
G147,αἰσχροκερδῶς,aischrokerdōs,ahee-skhrok-er-doce',adverb from αἰσχροκερδής; sordidly:--for filthy lucre's sake.
G148,αἰσχρολογία,aischrología,ahee-skhrol-og-ee'-ah,from αἰσχρός and λόγος; vile conversation:--filthy communication.
G149,αἰσχρόν,aischrón,ahee-skhron',"neuter of αἰσχρός; a shameful thing, i.e. indecorum:--shame."
G150,αἰσχρός,aischrós,ahee-skhros',"from the same as αἰσχύνομαι; shameful, i.e. base (specially, venal):--filthy."
G151,αἰσχρότης,aischrótēs,ahee-skhrot'-ace,"from αἰσχρός; shamefulness, i.e. obscenity:--filthiness."
G152,αἰσχύνη,aischýnē,ahee-skhoo'-nay,"from αἰσχύνομαι; shame or disgrace (abstractly or concretely):--dishonesty, shame."
G153,αἰσχύνομαι,aischýnomai,ahee-skhoo'-nom-ahee,"from  (disfigurement, i.e. disgrace); to feel shame (for oneself):--be ashamed."
G154,αἰτέω,aitéō,ahee-teh'-o,"of uncertain derivation; to ask (in genitive case):--ask, beg, call for, crave, desire, require. Compare πυνθάνομαι."
G155,αἴτημα,aítēma,ah'-ee-tay-mah,"from αἰτέω; a thing asked or (abstractly) an asking:--petition, request, required."
G156,αἰτία,aitía,ahee-tee'-a,"from the same as αἰτέω; a cause (as if asked for), i.e. (logical) reason (motive, matter), (legal) crime (alleged or proved):--accusation, case, cause, crime, fault, (wh-)ere(-fore)."
G157,αἰτίαμα,aitíama,ahee-tee'-am-ah,from a derivative of αἰτία; a thing charged:--complaint.
G158,αἴτιον,aítion,ah'-ee-tee-on,"neuter of αἴτιος; a reason or crime (like αἰτία):--cause, fault."
G159,αἴτιος,aítios,ah'-ee-tee-os,"from the same as αἰτέω; causative, i.e. (concretely) a causer:--author."
G160,αἰφνίδιος,aiphnídios,aheef-nid'-ee-os,"from a compound of Α (as a negative particle) and φαίνω (compare ἐξαίφνης) (meaning non-apparent); unexpected, i.e. (adverbially) suddenly:--sudden, unawares."
G161,αἰχμαλωσία,aichmalōsía,aheekh-mal-o-see'-ah,from αἰχμάλωτος; captivity:--captivity.
G162,αἰχμαλωτεύω,aichmalōteúō,aheekh-mal-o-tew'-o,from αἰχμάλωτος; to capture (like αἰχμαλωτίζω):--lead captive.
G163,αἰχμαλωτίζω,aichmalōtízō,aheekh-mal-o-tid'-zo,"from αἰχμάλωτος; to make captive:--lead away captive, bring into captivity."
G164,αἰχμάλωτος,aichmálōtos,aheekh-mal-o-tos',"from  (a spear) and a derivative of the same as ἅλωσις; properly, a prisoner of war, i.e. (genitive case) a captive:--captive."
G165,αἰών,aiṓn,ahee-ohn',"from the same as ἀεί; properly, an age; by extension, perpetuity (also past); by implication, the world; specially (Jewish) a Messianic period (present or future):--age, course, eternal, (for) ever(-more), (n-)ever, (beginning of the , while the) world (began, without end). Compare χρόνος."
G166,αἰώνιος,aiṓnios,ahee-o'-nee-os,"from αἰών; perpetual (also used of past time, or past and future as well):--eternal, for ever, everlasting, world (began)."
G167,ἀκαθαρσία,akatharsía,ak-ath-ar-see'-ah,"from ἀκάθαρτος; impurity (the quality), physically or morally:--uncleanness."
G168,ἀκαθάρτης,akathártēs,ak-ath-ar'-tace,"from ἀκάθαρτος; impurity (the state), morally:--filthiness."
G169,ἀκάθαρτος,akáthartos,ak-ath'-ar-tos,"from Α (as a negative particle) and a presumed derivative of καθαίρω (meaning cleansed); impure (ceremonially, morally (lewd) or specially, (demonic)):--foul, unclean."
G170,ἀκαιρέομαι,akairéomai,ak-ahee-reh'-om-ahee,"from a compound of Α (as a negative particle) and καιρός (meaning unseasonable); to be inopportune (for oneself), i.e. to fail of a proper occasion:--lack opportunity."
G171,ἀκαίρως,akaírōs,ak-ah'-ee-roce,adverb from the same as ἀκαιρέομαι; inopportunely:--out of season.
G172,ἄκακος,ákakos,ak'-ak-os,"from Α (as a negative particle) and κακός; not bad, i.e. (objectively) innocent or (subjectively) unsuspecting:--harmless, simple."
G173,ἄκανθα,ákantha,ak'-an-thah,probably from the same as ἀκμήν; a thorn:--thorn.
G174,ἀκάνθινος,akánthinos,ak-an'-thee-nos,from ἄκανθα; thorny:--of thorns.
G175,ἄκαρπος,ákarpos,ak'-ar-pos,"from Α (as a negative particle) and καρπός; barren (literally or figuratively):--without fruit, unfruitful."
G176,ἀκατάγνωστος,akatágnōstos,ak-at-ag'-noce-tos,from Α (as a negative particle) and a derivative of καταγινώσκω; unblamable:--that cannot be condemned.
G177,ἀκατακάλυπτος,akatakályptos,ak-at-ak-al'-oop-tos,from Α (as a negative particle) and a derivative of a compound of κατά and καλύπτω; unveiled:--uncovered.
G178,ἀκατάκριτος,akatákritos,ak-at-ak'-ree-tos,from Α (as a negative particle) and a derivative of κατακρίνω; without (legal) trial:--uncondemned.
G179,ἀκατάλυτος,akatálytos,ak-at-al'-oo-tos,"from Α (as a negative particle) and a derivative of καταλύω; indissoluble, i.e. (figuratively) permanent:--endless."
G180,ἀκατάπαυστος,akatápaustos,ak-at-ap'-ow-stos,from Α (as a negative particle) and a derivative of καταπαύω; unrefraining:--that cannot cease.
G181,ἀκαταστασία,akatastasía,ak-at-as-tah-see'-ah,"from ἀκατάστατος; instability, i.e. disorder:--commotion, confusion, tumult."
G182,ἀκατάστατος,akatástatos,ak-at-as'-tat-os,from Α (as a negative particle) and a derivative of καθίστημι; inconstant:--unstable.
G183,ἀκατάσχετος,akatáschetos,ak-at-as'-khet-os,from Α (as a negative particle) and a derivative of κατέχω; unrestrainable:--unruly.
G184,Ἀκελδαμά,Akeldamá,ak-el-dam-ah',"of Chaldee origin (meaning field of blood; corresponding to חֵלֶק and דָּם); Akeldama, a place near Jerusalem:--Aceldama."
G185,ἀκέραιος,akéraios,ak-er'-ah-yos,"from Α (as a negative particle) and a presumed derivative of κεράννυμι; unmixed, i.e. (figuratively) innocent:--harmless, simple."
G186,ἀκλινής,aklinḗs,ak-lee-nace',"from Α (as a negative particle) and κλίνω; not leaning, i.e. (figuratively) firm:--without wavering."
G187,ἀκμάζω,akmázō,ak-mad'-zo,"from the same as ἀκμήν; to make a point, i.e. (figuratively) mature:--be fully ripe."
G188,ἀκμήν,akmḗn,ak-mane',"accusative case of a noun (""acme"") akin to  (a point) and meaning the same; adverbially, just now, i.e. still:--yet."
G189,ἀκοή,akoḗ,ak-o-ay',"from ἀκούω; hearing (the act, the sense or the thing heard):--audience, ear, fame, which ye heard, hearing, preached, report, rumor."
